Name,Indexed Name,Current Affiliation,Document count,Citations Count,Subject of Interest,Keywords
Jürgen U.Schmidhuber,Schmidhuber J.,USI,288,17626,"['Applied Mathematics', 'Human-Computer Interaction', 'Ecology, Evolution, Behavior and Systematics', 'Modeling and Simulation', 'Computer Science Applications', 'Mathematics (miscellaneous)', 'Software', 'Control and Systems Engineering', 'Electrical and Electronic Engineering', 'Cognitive Neuroscience', 'Multidisciplinary', 'Radiological and Ultrasound Technology', 'Psychology (miscellaneous)', 'Engineering (all)', 'Mathematics (all)', 'Sociology and Political Science', 'Language and Linguistics', 'Biochemistry, Genetics and Molecular Biology (all)', 'Computer Networks and Communications', 'Computer Science (all)', 'Health Informatics', 'Statistics and Probability', 'Neuroscience (miscellaneous)', 'Biomedical Engineering', 'Experimental and Cognitive Psychology', 'Radiology, Nuclear Medicine and Imaging', 'Cellular and Molecular Neuroscience', 'Artificial Intelligence', 'Computer Science (miscellaneous)', 'Safety, Risk, Reliability and Quality', 'Medicine (all)', 'Theoretical Computer Science', 'Computational Mechanics', 'Signal Processing', 'Hardware and Architecture', 'Genetics', 'Political Science and International Relations', 'Neuroscience (all)', 'Linguistics and Language', 'Computational Mathematics', 'Social Sciences (all)', 'Physics and Astronomy (all)', 'Computational Theory and Mathematics', 'Information Systems', 'Arts and Humanities (miscellaneous)', 'Electronic, Optical and Magnetic Materials', 'Anatomy', 'Computer Vision and Pattern Recognition', 'Philosophy', 'Computer Graphics and Computer-Aided Design', 'Education', 'Psychology (all)']","['Functional ANalysis Of VAriance (fANOVA)', 'long short-term memory (LSTM)', 'random search', 'recurrent neural networks', 'sequence learning', 'Neural networks', 'Optimization', 'Python', 'Reinforcement learning', 'Context-free languages (CFLs)', 'Context-sensitive languages (CSLs)', 'Long short-term memory (LSTM)', 'Recurrent neural networks (RNNs)', 'Artificial evolution', 'Automated knot tying', 'Minimally invasive surgery', 'Recurrent neural networks', 'Supervised learning']"
Hava TovaSiegelmann,Siegelmann H.,"University of Massachusetts, Laboratory of Biologically Inspired Neural and Dynamical Systems (BINDS)",106,1756,"['Applied Mathematics', 'Computer Science Applications', 'Sensory Systems', 'Artificial Intelligence', 'Theoretical Computer Science', 'Health Informatics', 'Statistical and Nonlinear Physics', 'Economics, Econometrics and Finance (all)', 'Agricultural and Biological Sciences (miscellaneous)', 'Computational Theory and Mathematics', 'Electrical and Electronic Engineering', 'Multidisciplinary', 'Physiology', 'Computer Networks and Communications', 'Mathematical Physics', 'Engineering (all)', 'Mathematics (all)', 'Biochemistry, Genetics and Molecular Biology (all)', 'Cell Biology', 'Cognitive Neuroscience', 'Mechanical Engineering', 'Human-Computer Interaction', 'Medicine (all)', 'Biomedical Engineering', 'Library and Information Sciences', 'Endocrinology', 'Software', 'Neuroscience (miscellaneous)', 'Media Technology', 'Analysis', 'Control and Systems Engineering', 'Safety, Risk, Reliability and Quality', 'Physiology (medical)', 'Signal Processing', 'Computational Mechanics', 'Cellular and Molecular Neuroscience', 'Hardware and Architecture', 'Health Information Management', 'Condensed Matter Physics', 'Genetics', 'Management of Technology and Innovation', 'Neuroscience (all)', 'Biophysics', 'Bioengineering', 'Physics and Astronomy (all)', 'Aerospace Engineering', 'Atomic and Molecular Physics, and Optics', 'Developmental Biology', 'Computational Mathematics', 'Information Systems', 'Computer Vision and Pattern Recognition', 'Molecular Biology', 'Numerical Analysis', 'Arts and Humanities (miscellaneous)', 'Computer Science (all)', 'Computer Graphics and Computer-Aided Design', 'Biotechnology', 'Electronic, Optical and Magnetic Materials', 'Surgery', 'Agricultural and Biological Sciences (all)', 'Psychology (all)']","['adaptability', 'computational capabilities', 'evolvability', 'learning', 'neural computation', 'Neural networks', 'plastic neural networks', 'plasticity', 'super-Turing', 'Turing machines', 'Turing machines with advice', 'Automata', 'Finite state machine', 'Grammatical inference', 'Memory', 'NARX', 'NNIIR', 'Recurrent neural network', 'Sequential machine', 'Temporal sequences', 'Automata', 'Finite state machine', 'Grammatical inference', 'Memory', 'NARX', 'NNIIR', 'Recurrent neural network', 'Sequential machine', 'Temporal sequences', 'Finite-State automata', 'Interconnection networks', 'Knowledge extraction', 'Real-Time training', 'Recurrent networks', 'Sequential machines', 'Finite state machines', 'Grammatical inference', 'NARX neural networks', 'Recurrent neural networks']"
Bill G.Horne,Horne B.,"NEC Laboratories America, Inc.",34,1619,"['Electrical and Electronic Engineering', 'Music', 'Signal Processing', 'Control and Systems Engineering', 'Computer Science (all)', 'Human-Computer Interaction', 'Numerical Analysis', 'Hardware and Architecture', 'Cognitive Neuroscience', 'Chemical Health and Safety', 'Mechanical Engineering', 'Software', 'Artificial Intelligence', 'Algebra and Number Theory', 'Neuroscience (all)', 'Computational Theory and Mathematics', 'Engineering (all)', 'Safety, Risk, Reliability and Quality', 'Computer Networks and Communications', 'Theoretical Computer Science', 'Information Systems', 'Applied Mathematics']","['adaptability', 'computational capabilities', 'evolvability', 'learning', 'neural computation', 'Neural networks', 'plastic neural networks', 'plasticity', 'super-Turing', 'Turing machines', 'Turing machines with advice', 'Automata', 'Finite state machine', 'Grammatical inference', 'Memory', 'NARX', 'NNIIR', 'Recurrent neural network', 'Sequential machine', 'Temporal sequences', 'Automata', 'Finite state machine', 'Grammatical inference', 'Memory', 'NARX', 'NNIIR', 'Recurrent neural network', 'Sequential machine', 'Temporal sequences', 'Finite-State automata', 'Interconnection networks', 'Knowledge extraction', 'Real-Time training', 'Recurrent networks', 'Sequential machines', 'Finite state machines', 'Grammatical inference', 'NARX neural networks', 'Recurrent neural networks']"
Clyde Lee C.Giles,Giles C.,Pennsylvania State University,420,12401,"['Language and Linguistics', 'Electrical and Electronic Engineering', 'Theoretical Computer Science', 'Physical and Theoretical Chemistry', 'Engineering (all)', 'Physics and Astronomy (all)', 'Artificial Intelligence', 'Business, Management and Accounting (miscellaneous)', 'Biochemistry, Genetics and Molecular Biology (all)', 'Computational Theory and Mathematics', 'Economics, Econometrics and Finance (all)', 'Neuroscience (all)', 'Food Science', 'Decision Sciences (all)', 'Atomic and Molecular Physics, and Optics', 'Computer Networks and Communications', 'Education', 'Computer Graphics and Computer-Aided Design', 'Applied Mathematics', 'Pollution', 'Computer Science (miscellaneous)', 'Genetics', 'Law', 'Computer Science Applications', 'Social Sciences (miscellaneous)', 'Agricultural and Biological Sciences (all)', 'Computer Vision and Pattern Recognition', 'Electronic, Optical and Magnetic Materials', 'Hardware and Architecture', 'Mathematics (all)', 'Marketing', 'Arts and Humanities (miscellaneous)', 'Cognitive Neuroscience', 'Health Informatics', 'Signal Processing', 'Statistical and Nonlinear Physics', 'Computer Science (all)', 'Social Sciences (all)', 'Multidisciplinary', 'Information Systems and Management', 'Human Factors and Ergonomics', 'Information Systems', 'Software', 'Linguistics and Language', 'Business and International Management', 'Library and Information Sciences', 'Engineering (miscellaneous)', 'Cellular and Molecular Neuroscience', 'Condensed Matter Physics', 'Medicine (all)', 'Business, Management and Accounting (all)', 'Control and Systems Engineering', 'Management Information Systems', 'Management Science and Operations Research', 'Human-Computer Interaction', 'Physics and Astronomy (miscellaneous)']","['adaptability', 'computational capabilities', 'evolvability', 'learning', 'neural computation', 'Neural networks', 'plastic neural networks', 'plasticity', 'super-Turing', 'Turing machines', 'Turing machines with advice', 'Automata', 'Finite state machine', 'Grammatical inference', 'Memory', 'NARX', 'NNIIR', 'Recurrent neural network', 'Sequential machine', 'Temporal sequences', 'Automata', 'Finite state machine', 'Grammatical inference', 'Memory', 'NARX', 'NNIIR', 'Recurrent neural network', 'Sequential machine', 'Temporal sequences', 'Finite-State automata', 'Interconnection networks', 'Knowledge extraction', 'Real-Time training', 'Recurrent networks', 'Sequential machines', 'Finite state machines', 'Grammatical inference', 'NARX neural networks', 'Recurrent neural networks']"
TomSchaul,Schaul T.,DeepMind Technologies Limited,50,722,"['Computer Graphics and Computer-Aided Design', 'Education', 'Human-Computer Interaction', 'Nuclear and High Energy Physics', 'Instrumentation', 'Software', 'Statistics and Probability', 'Computer Science (all)', 'Sociology and Political Science', 'Computer Vision and Pattern Recognition', 'Theoretical Computer Science', 'Signal Processing', 'Computer Science Applications', 'Computer Networks and Communications', 'Electrical and Electronic Engineering', 'Computational Theory and Mathematics', 'Information Systems', 'Computational Mathematics', 'Control and Systems Engineering', 'Artificial Intelligence', 'Applied Mathematics']","['Neural networks', 'Optimization', 'Python', 'Reinforcement learning', 'Artificial evolution', 'Automated knot tying', 'Minimally invasive surgery', 'Recurrent neural networks', 'Supervised learning', 'Recurrent neural networks', 'Wind energy prediction']"
JustinBayer,Bayer J.,Università della Svizzera italiana,2,191,"['Artificial Intelligence', 'Control and Systems Engineering', 'Theoretical Computer Science', 'Software', 'Computer Science (all)', 'Statistics and Probability']","['Neural networks', 'Optimization', 'Python', 'Reinforcement learning', 'Artificial evolution', 'Automated knot tying', 'Minimally invasive surgery', 'Recurrent neural networks', 'Supervised learning', 'Recurrent neural networks', 'Wind energy prediction']"
DaanWierstra,Wierstra D.,DeepMind Technologies Limited,37,3099,"['Information Systems', 'Theoretical Computer Science', 'Multidisciplinary', 'Computer Networks and Communications', 'Computer Science Applications', 'Hardware and Architecture', 'Signal Processing', 'Computer Science (all)', 'Philosophy', 'Neuroscience (all)', 'Biochemistry, Genetics and Molecular Biology (all)', 'Software', 'Statistics and Probability', 'Medicine (all)', 'Computational Theory and Mathematics', 'Engineering (all)', 'Human-Computer Interaction', 'Control and Systems Engineering', 'Artificial Intelligence']","['Neural networks', 'Optimization', 'Python', 'Reinforcement learning', 'Artificial evolution', 'Automated knot tying', 'Minimally invasive surgery', 'Recurrent neural networks', 'Supervised learning', 'Recurrent neural networks', 'Wind energy prediction']"
YiSun,Sun Y.,Google LLC,11,313,"['Software', 'Human-Computer Interaction', 'Artificial Intelligence', 'Statistics and Probability', 'Computational Theory and Mathematics', 'Control and Systems Engineering', 'Applied Mathematics', 'Education', 'Theoretical Computer Science', 'Computer Science Applications', 'Information Systems', 'Computational Mathematics', 'Computer Science (all)']","['Neural networks', 'Optimization', 'Python', 'Reinforcement learning', 'Artificial evolution', 'Automated knot tying', 'Minimally invasive surgery', 'Recurrent neural networks', 'Supervised learning', 'Recurrent neural networks', 'Wind energy prediction']"
MartinFelder,Felder M.,Zentrum für Sonnenenergie- und Wasserstoff-Forschung Baden-Württemberg,9,242,"['Energy Engineering and Power Technology', 'Theoretical Computer Science', 'Atomic and Molecular Physics, and Optics', 'Electrical and Electronic Engineering', 'Biochemistry', 'Industrial and Manufacturing Engineering', 'Computer Science (all)', 'Software', 'Analytical Chemistry', 'Renewable Energy, Sustainability and the Environment', 'Artificial Intelligence', 'Statistics and Probability', 'Earth and Planetary Sciences (miscellaneous)', 'Environmental Engineering', 'Space and Planetary Science', 'Control and Systems Engineering']","['Neural networks', 'Optimization', 'Python', 'Reinforcement learning', 'Artificial evolution', 'Automated knot tying', 'Minimally invasive surgery', 'Recurrent neural networks', 'Supervised learning', 'Recurrent neural networks', 'Wind energy prediction']"
FrankSehnke,Sehnke F.,Zentrum für Sonnenenergie- und Wasserstoff-Forschung Baden-Württemberg,21,714,"['Computer Science Applications', 'Electrical and Electronic Engineering', 'Theoretical Computer Science', 'Safety, Risk, Reliability and Quality', 'Computer Networks and Communications', 'Information Systems', 'Control and Systems Engineering', 'Energy Engineering and Power Technology', 'Atmospheric Science', 'Statistics and Probability', 'Earth and Planetary Sciences (miscellaneous)', 'Space and Planetary Science', 'Artificial Intelligence', 'Human-Computer Interaction', 'Biochemistry, Genetics and Molecular Biology (all)', 'Energy (all)', 'Cognitive Neuroscience', 'Renewable Energy, Sustainability and the Environment', 'Computer Science (all)', 'Software']","['Neural networks', 'Optimization', 'Python', 'Reinforcement learning', 'Artificial evolution', 'Automated knot tying', 'Minimally invasive surgery', 'Recurrent neural networks', 'Supervised learning', 'Recurrent neural networks', 'Wind energy prediction']"
