Name,Indexed Name,Current Affiliation,Document count,Citations Count,Subject of Interest,Keywords
ElenaTutubalina,Tutubalina E.,Kazan Federal University,26,64,"['Hardware and Architecture', 'Biomedical Engineering', 'Mathematics (all)', 'Computer Science (all)', 'Biotechnology', 'Artificial Intelligence', 'Media Technology', 'Linguistics and Language', 'Computer Science Applications', 'Software', 'Modeling and Simulation', 'Theoretical Computer Science', 'Chemistry (all)', 'Computer Networks and Communications', 'Language and Linguistics', 'Health Informatics', 'Surgery']","['Cepidc', 'CLEF eHealth', 'Death certificates', 'Deep learning', 'Encoder-decoder model', 'Healthcare', 'Icd-10 codes', 'ICD-10 coding', 'Machine learning', 'Medical concept coding', 'Recurrent neural network', 'Sequence to sequence', 'Sequence-to-sequence architecture', 'CDC corpus', 'CLEF eHealth', 'Computer assisted coding', 'CépiDc corpus', 'Death certificates', 'Deep learning', 'Encoder-decoder model', 'Healthcare', 'ICD codes', 'ICD coding', 'Machine learning', 'Medical concept coding', 'Medical record coding', 'Recurrent neural network', 'CDC corpus', 'CLEF eHealth', 'Computer assisted coding', 'CépiDc corpus', 'Death certificates', 'Deep learning', 'Encoder-decoder model', 'Healthcare', 'ICD codes', 'ICD coding', 'Machine learning', 'Medical concept coding', 'Medical record coding', 'Recurrent neural network']"
YuZhu,Zhu Y.,"East China University of Science and Technology, School of Information Science and Engineering",34,44,"['Control and Systems Engineering', 'Radiology, Nuclear Medicine and Imaging', 'Multidisciplinary', 'Engineering (all)', 'Information Systems', 'Chemical Engineering (all)', 'Computer Networks and Communications', 'Aerospace Engineering', 'Computer Vision and Pattern Recognition', 'Space and Planetary Science', 'Computer Science (all)', 'Materials Science (all)', 'Mechanical Engineering', 'Artificial Intelligence', 'Software', 'Condensed Matter Physics', 'Computer Graphics and Computer-Aided Design', 'Health Informatics', 'Materials Chemistry', 'Computer Science Applications', 'Electrical and Electronic Engineering', 'Biomedical Engineering', 'Signal Processing', 'Hardware and Architecture', 'Surfaces, Coatings and Films', 'Mathematics (all)']","['Action recognition', 'Convolution neural network (CNN)', 'Deep learning', 'Restricted Boltzmann machine (RBM)']"
JiangkunZhao,Zhao J.,"East China University of Science and Technology, School of Information Science and Engineering",3,14,"['Chemical Engineering (all)', 'Control and Systems Engineering', 'Software', 'Computer Graphics and Computer-Aided Design', 'Information Systems', 'Materials Chemistry', 'Engineering (all)']","['Action recognition', 'Convolution neural network (CNN)', 'Deep learning', 'Restricted Boltzmann machine (RBM)']"
YiningWang,Wang Y.,"East China University of Science and Technology, School of Information Science and Engineering",2,13,"['Information Systems', 'Health Informatics', 'Computer Science Applications', 'Artificial Intelligence', 'Computer Networks and Communications', 'Computer Graphics and Computer-Aided Design', 'Computer Vision and Pattern Recognition', 'Software', 'Control and Systems Engineering']","['Action recognition', 'Convolution neural network (CNN)', 'Deep learning', 'Restricted Boltzmann machine (RBM)']"
BingbingZheng,Zheng B.,"East China University of Science and Technology, Signal and Information Processing",5,12,"['Mathematics (all)', 'Control and Systems Engineering', 'Computer Vision and Pattern Recognition', 'Computer Graphics and Computer-Aided Design', 'Software', 'Electrical and Electronic Engineering', 'Computer Science Applications', 'Information Systems', 'Radiology, Nuclear Medicine and Imaging', 'Health Informatics', 'Computer Science (all)', 'Signal Processing']","['Action recognition', 'Convolution neural network (CNN)', 'Deep learning', 'Restricted Boltzmann machine (RBM)']"
YangyangShi,Shi Y.,Microsoft Corporation,25,216,"['Management Science and Operations Research', 'Artificial Intelligence', 'Modeling and Simulation', 'Software', 'Information Systems and Management', 'Communication', 'Computer Networks and Communications', 'Human-Computer Interaction', 'Theoretical Computer Science', 'Linguistics and Language', 'Computer Science Applications', 'Electrical and Electronic Engineering', 'Language and Linguistics', 'Speech and Hearing', 'Computer Science (all)', 'Signal Processing', 'Computer Vision and Pattern Recognition']","['Curriculum learning', 'Language models', 'Latent Dirichlet allocation', 'Recurrent neural networks', 'Topics Socio-situational setting', 'Recurrent neural networks', 'semi-supervised learning', 'transductive support vector machines']"
MarthaLarson,Larson M.,Haute Ecole Spécialisée de Suisse Occidentale,12,21,"['Artificial Intelligence', 'Modeling and Simulation', 'Software', 'Computer Science (all)', 'Human-Computer Interaction', 'Library and Information Sciences', 'Language and Linguistics', 'Information Systems', 'Theoretical Computer Science', 'Electrical and Electronic Engineering', 'Communication', 'Signal Processing', 'Computer Vision and Pattern Recognition', 'Computer Science Applications', 'Media Technology', 'Linguistics and Language']","['Curriculum learning', 'Language models', 'Latent Dirichlet allocation', 'Recurrent neural networks', 'Topics Socio-situational setting', 'Recurrent neural networks', 'semi-supervised learning', 'transductive support vector machines']"
Catholijn M.Jonker,Jonker C.,"Delft University of Technology, Department of Intelligent Systems",364,2272,"['Human Factors and Ergonomics', 'Speech and Hearing', 'Biomedical Engineering', 'Social Sciences (all)', 'Applied Microbiology and Biotechnology', 'Mathematics (all)', 'Engineering (all)', 'Cognitive Neuroscience', 'Control and Systems Engineering', 'Computer Networks and Communications', 'Emergency Medicine', 'Artificial Intelligence', 'Education', 'Management Science and Operations Research', 'Social Psychology', 'Psychology (all)', 'Neuroscience (miscellaneous)', 'Theoretical Computer Science', 'Public Health, Environmental and Occupational Health', 'Decision Sciences (all)', 'Mathematics (miscellaneous)', 'Civil and Structural Engineering', 'Modeling and Simulation', 'Management Information Systems', 'Engineering (miscellaneous)', 'Business, Management and Accounting (miscellaneous)', 'Behavioral Neuroscience', 'Computational Theory and Mathematics', 'Computer Science (all)', 'Rehabilitation', 'Bioengineering', 'Linguistics and Language', 'Human-Computer Interaction', 'Biochemistry, Genetics and Molecular Biology (all)', 'Language and Linguistics', 'Strategy and Management', 'Applied Mathematics', 'Software', 'Critical Care and Intensive Care Medicine', 'Arts and Humanities (all)', 'Computer Science Applications', 'Psychology (miscellaneous)', 'Management of Technology and Innovation', 'Economics, Econometrics and Finance (miscellaneous)', 'Library and Information Sciences', 'Information Systems', 'Computer Graphics and Computer-Aided Design', 'Electrical and Electronic Engineering', 'Experimental and Cognitive Psychology', 'Signal Processing', 'Industrial and Manufacturing Engineering', 'Computer Vision and Pattern Recognition', 'Computational Mathematics', 'Agricultural and Biological Sciences (all)', 'Philosophy', 'Computer Science (miscellaneous)', 'Safety Research', 'Biotechnology', 'Arts and Humanities (miscellaneous)', 'Marketing', 'Mechanical Engineering', 'Hardware and Architecture', 'Information Systems and Management', 'Developmental and Educational Psychology', 'Communication', 'Safety, Risk, Reliability and Quality']","['Curriculum learning', 'Language models', 'Latent Dirichlet allocation', 'Recurrent neural networks', 'Topics Socio-situational setting', 'Recurrent neural networks', 'semi-supervised learning', 'transductive support vector machines']"
IvánSalgado,Salgado I.,Instituto Politécnico Nacional,31,116,"['Computer Science Applications', 'Cognitive Neuroscience', 'Biomedical Engineering', 'Control and Optimization', 'Modeling and Simulation', 'Electrical and Electronic Engineering', 'Software', 'Civil and Structural Engineering', 'Mechanical Engineering', 'Environmental Engineering', 'Human-Computer Interaction', 'Instrumentation', 'Neuroscience (all)', 'Artificial Intelligence', 'Environmental Science (all)', 'Computer Networks and Communications', 'Signal Processing', 'Bioengineering', 'Applied Mathematics', 'Control and Systems Engineering']","['Discrete recurrent neural network', 'Discrete-time observer', 'Lyapunov theory', 'Practical stability']"
I.Chairez,Chairez I.,Instituto Politécnico Nacional,181,728,"['Fuel Technology', 'Computer Networks and Communications', 'Management, Monitoring, Policy and Law', 'Urology', 'Radiology, Nuclear Medicine and Imaging', 'Chemical Engineering (all)', 'Instrumentation', 'Waste Management and Disposal', 'Engineering (all)', 'Multidisciplinary', 'Environmental Chemistry', 'Biomedical Engineering', 'Information Systems and Management', 'Molecular Biology', 'Cognitive Neuroscience', 'Pharmacology', 'Catalysis', 'Biotechnology', 'Computer Science (miscellaneous)', 'Applied Microbiology and Biotechnology', 'Mathematics (all)', 'Ecological Modeling', 'Nuclear Energy and Engineering', 'Applied Mathematics', 'Environmental Engineering', 'Polymers and Plastics', 'Materials Science (all)', 'Chemistry (all)', 'Signal Processing', 'Water Science and Technology', 'Theoretical Computer Science', 'Electronic, Optical and Magnetic Materials', 'Modeling and Simulation', 'Bioengineering', 'Control and Systems Engineering', 'Electrical and Electronic Engineering', 'Food Science', 'Industrial and Manufacturing Engineering', 'Computer Vision and Pattern Recognition', 'Computer Science (all)', 'Information Systems', 'Atomic and Molecular Physics, and Optics', 'Computer Science Applications', 'Physics and Astronomy (all)', 'Aerospace Engineering', 'Computational Mechanics', 'Computational Theory and Mathematics', 'Logic', 'Neuroscience (all)', 'Artificial Intelligence', 'Biochemistry, Genetics and Molecular Biology (all)', 'Renewable Energy, Sustainability and the Environment', 'Automotive Engineering', 'Analytical Chemistry', 'Safety, Risk, Reliability and Quality', 'Biochemistry', 'Process Chemistry and Technology', 'Earth-Surface Processes', 'Energy Engineering and Power Technology', 'Chemical Engineering (miscellaneous)', 'Materials Chemistry', 'Health, Toxicology and Mutagenesis', 'Molecular Medicine', 'Software', 'Pollution', 'Environmental Science (all)', 'Mechanical Engineering', 'Organic Chemistry', 'Condensed Matter Physics', 'Human-Computer Interaction', 'Library and Information Sciences', 'Biomaterials', 'Medicine (all)', 'Control and Optimization', 'Chemical Health and Safety', 'Cancer Research']","['Discrete recurrent neural network', 'Discrete-time observer', 'Lyapunov theory', 'Practical stability']"
Alan D.Blair,Blair A.,"University of New South Wales (UNSW) Australia, School of Computer Science and Engineering",51,376,"['Physics and Astronomy (all)', 'Information Systems', 'Computational Mathematics', 'Computer Vision and Pattern Recognition', 'Engineering (all)', 'Computer Science (all)', 'Computational Theory and Mathematics', 'Neuroscience (all)', 'Statistics, Probability and Uncertainty', 'Electrical and Electronic Engineering', 'Computer Networks and Communications', 'Applied Mathematics', 'Safety, Risk, Reliability and Quality', 'Artificial Intelligence', 'Computer Science Applications', 'Signal Processing', 'Theoretical Computer Science', 'Modeling and Simulation', 'Control and Optimization', 'Hardware and Architecture', 'Software', 'Human-Computer Interaction', 'Geology', 'Computer Graphics and Computer-Aided Design', 'Control and Systems Engineering']","['Analysis', 'Computation', 'Context-free language', 'Dynamical system', 'Learning', 'Recurrent neutral network', 'Stack']"
HengShi,Shi H.,University of Auckland,6,17,"['Chemical Engineering (all)', 'Waste Management and Disposal', 'Renewable Energy, Sustainability and the Environment', 'Energy Engineering and Power Technology', 'Horticulture', 'Electrical and Electronic Engineering', 'Energy (all)', 'Food Science', 'Nuclear Energy and Engineering', 'Computer Science (all)']","['Big data', 'deep learning', 'load forecasting', 'long short-Term memory', 'machine learning', 'neural network', 'smart meter']"
MinghaoXu,Xu M.,"University of Bath, Department of Electrical and Electronic Engineering",6,12,"['Control and Optimization', 'Nuclear Energy and Engineering', 'Energy (all)', 'Fuel Technology', 'Computer Networks and Communications', 'Energy Engineering and Power Technology', 'Electrical and Electronic Engineering', 'Renewable Energy, Sustainability and the Environment', 'Marketing', 'Computer Science (all)']","['Big data', 'deep learning', 'load forecasting', 'long short-Term memory', 'machine learning', 'neural network', 'smart meter']"
RanLi,Li R.,"University of Bath, Department of Electrical and Electronic Engineering",29,187,"['Building and Construction', 'Electrical and Electronic Engineering', 'Fuel Technology', 'Civil and Structural Engineering', 'Marketing', 'Mechanical Engineering', 'Pollution', 'Engineering (all)', 'Energy (all)', 'Control and Systems Engineering', 'Computer Networks and Communications', 'Information Systems', 'Renewable Energy, Sustainability and the Environment', 'Industrial and Manufacturing Engineering', 'Computer Science Applications', 'Management, Monitoring, Policy and Law', 'Energy Engineering and Power Technology', 'Computer Science (all)', 'Nuclear Energy and Engineering']","['Big data', 'deep learning', 'load forecasting', 'long short-Term memory', 'machine learning', 'neural network', 'smart meter']"
Sreenatha G.Anavatti,Anavatti S.,"University of New South Wales (UNSW) Australia, School of Engineering and Information Technology",163,829,"['Language and Linguistics', 'Engineering (all)', 'Electronic, Optical and Magnetic Materials', 'Linguistics and Language', 'Computational Theory and Mathematics', 'Electrical and Electronic Engineering', 'Ocean Engineering', 'Control and Optimization', 'Information Systems and Management', 'Instrumentation', 'Modeling and Simulation', 'Computer Vision and Pattern Recognition', 'Control and Systems Engineering', 'Condensed Matter Physics', 'Oceanography', 'Computer Networks and Communications', 'Materials Science (all)', 'Artificial Intelligence', 'Applied Mathematics', 'Information Systems', 'Atomic and Molecular Physics, and Optics', 'Automotive Engineering', 'Acoustics and Ultrasonics', 'Theoretical Computer Science', 'Computer Science Applications', 'Engineering (miscellaneous)', 'Software', 'Safety, Risk, Reliability and Quality', 'Energy Engineering and Power Technology', 'Chemistry (all)', 'Human-Computer Interaction', 'Environmental Engineering', 'Computer Graphics and Computer-Aided Design', 'Mechanics of Materials', 'Computer Science (all)', 'Computational Mechanics', 'Industrial and Manufacturing Engineering', 'Aerospace Engineering', 'Renewable Energy, Sustainability and the Environment', 'Cognitive Neuroscience', 'Mathematics (all)', 'Transportation', 'Hardware and Architecture', 'Biochemistry, Genetics and Molecular Biology (all)', 'Mechanical Engineering', 'Computational Mathematics', 'Biotechnology', 'Signal Processing']","['Evolving fuzzy system', 'Fuzzy neural network', 'Metacognitive learning', 'Online learning', 'Type-2 fuzzy system']"
CheepengLim,Lim C.,"Deakin University, Institute for Intelligent Systems Research and Innovation (IISRI)",46,174,"['Materials Science (all)', 'Computer Science Applications', 'Hardware and Architecture', 'Management Information Systems', 'Decision Sciences (all)', 'Control and Optimization', 'Safety, Risk, Reliability and Quality', 'Electrical and Electronic Engineering', 'Signal Processing', 'Artificial Intelligence', 'Applied Mathematics', 'Engineering (all)', 'Management Science and Operations Research', 'Mechanical Engineering', 'Software', 'Human-Computer Interaction', 'Computer Science (all)', 'Mathematics (all)', 'Computer Networks and Communications', 'Computational Mathematics', 'Information Systems', 'Industrial and Manufacturing Engineering', 'Control and Systems Engineering', 'Theoretical Computer Science', 'Information Systems and Management', 'Strategy and Management', 'Arts and Humanities (miscellaneous)', 'Neuroscience (all)', 'Computational Theory and Mathematics', 'Developmental and Educational Psychology', 'Cognitive Neuroscience', 'Instrumentation']","['Evolving fuzzy system', 'Fuzzy neural network', 'Metacognitive learning', 'Online learning', 'Type-2 fuzzy system']"
NicolasPapernot,Papernot N.,"Pennsylvania State University, Department of Computer Science and Engineering",13,319,"['Engineering (all)', 'Theoretical Computer Science', 'Software', 'Law', 'Artificial Intelligence', 'Safety, Risk, Reliability and Quality', 'Electrical and Electronic Engineering', 'Information Systems', 'Computer Networks and Communications', 'Computer Science Applications', 'Computer Science (all)']","['Adaptation models', 'Biological neural networks', 'Computational modeling', 'Mathematical model', 'Neurons', 'Recurrent neural networks']"
Patrick D.McDaniel,McDaniel P.,Pennsylvania State University,166,5047,"['Condensed Matter Physics', 'Library and Information Sciences', 'Human-Computer Interaction', 'Information Systems', 'Artificial Intelligence', 'Computer Graphics and Computer-Aided Design', 'Engineering (miscellaneous)', 'Business, Management and Accounting (all)', 'Software', 'Applied Mathematics', 'Communication', 'Computer Networks and Communications', 'Modeling and Simulation', 'Sociology and Political Science', 'Control and Optimization', 'Business and International Management', 'Computer Vision and Pattern Recognition', 'Theoretical Computer Science', 'Information Systems and Management', 'Biochemistry, Genetics and Molecular Biology (all)', 'Safety, Risk, Reliability and Quality', 'Law', 'Control and Systems Engineering', 'Electronic, Optical and Magnetic Materials', 'Computational Theory and Mathematics', 'Development', 'Hardware and Architecture', 'Electrical and Electronic Engineering', 'Engineering (all)', 'Mathematics (all)', 'Computer Science (miscellaneous)', 'Computer Science Applications', 'Signal Processing', 'Computer Science (all)', 'Media Technology']","['Adaptation models', 'Biological neural networks', 'Computational modeling', 'Mathematical model', 'Neurons', 'Recurrent neural networks']"
Ananthram S.R.Swami,Swami A.,U.S. Army Research Laboratory,410,9097,"['Computer Networks and Communications', 'Automotive Engineering', 'Safety, Risk, Reliability and Quality', 'Control and Optimization', 'Applied Mathematics', 'Medicine (all)', 'Electrical and Electronic Engineering', 'Modeling and Simulation', 'Condensed Matter Physics', 'Engineering (all)', 'Instrumentation', 'Statistics and Probability', 'Arts and Humanities (miscellaneous)', 'Electronic, Optical and Magnetic Materials', 'Information Systems', 'Law', 'Media Technology', 'Control and Systems Engineering', 'Acoustics and Ultrasonics', 'Computer Vision and Pattern Recognition', 'Multidisciplinary', 'Decision Sciences (miscellaneous)', 'Hardware and Architecture', 'Aerospace Engineering', 'Computer Science Applications', 'Civil and Structural Engineering', 'Human-Computer Interaction', 'Geology', 'Physics and Astronomy (all)', 'Artificial Intelligence', 'Global and Planetary Change', 'Computer Science (all)', 'Software', 'Signal Processing', 'Information Systems and Management', 'Library and Information Sciences', 'Computational Theory and Mathematics', 'Communication', 'Statistics, Probability and Uncertainty', 'Theoretical Computer Science', 'Chemical Health and Safety', 'Statistical and Nonlinear Physics']","['Adaptation models', 'Biological neural networks', 'Computational modeling', 'Mathematical model', 'Neurons', 'Recurrent neural networks']"
Richard E.Harang,Harang R.,"Sophos, Sophos Group PLC",33,157,"['Physiology', 'Information Systems', 'Physiology (medical)', 'Engineering (miscellaneous)', 'Computer Science (all)', 'Computer Vision and Pattern Recognition', 'Computer Networks and Communications', 'Electrical and Electronic Engineering', 'Safety Research', 'Electronic, Optical and Magnetic Materials', 'Theoretical Computer Science', 'Multidisciplinary', 'Safety, Risk, Reliability and Quality', 'Applied Mathematics', 'Human-Computer Interaction', 'Biochemistry, Genetics and Molecular Biology (all)', 'Computational Theory and Mathematics', 'Computer Science Applications', 'Computer Science (miscellaneous)', 'Modeling and Simulation', 'Artificial Intelligence', 'Software', 'Condensed Matter Physics', 'Medicine (all)']","['Adaptation models', 'Biological neural networks', 'Computational modeling', 'Mathematical model', 'Neurons', 'Recurrent neural networks']"
YoungjinKim,Kim Y.,"Intel Corporation, Artificial Intelligence Products Group",4,17,"['Computer Science Applications', 'Electrical and Electronic Engineering', 'Aerospace Engineering', 'Modeling and Simulation', 'Software']",[]
SunChoi,Choi S.,"Georgia Institute of Technology, Aerospace Systems Design Laboratory",3,17,"['Aerospace Engineering', 'Electrical and Electronic Engineering']",[]
Simón I.Briceño,Briceño S.,"Georgia Institute of Technology, Senior Research Engineer",42,121,"['Computer Networks and Communications', 'Energy (all)', 'Aerospace Engineering', 'Control and Systems Engineering', 'Electrical and Electronic Engineering', 'Safety, Risk, Reliability and Quality', 'Mechanical Engineering', 'Space and Planetary Science', 'Mechanics of Materials', 'Engineering (all)', 'Pollution', 'Building and Construction', 'Architecture', 'Civil and Structural Engineering', 'Religious Studies', 'Industrial and Manufacturing Engineering', 'Materials Science (all)', 'Automotive Engineering', 'Control and Optimization']",[]
Dimitri N.Mavris,Mavris D.,"Georgia Institute of Technology, School of Aerospace Engineering",718,1483,"['Space and Planetary Science', 'Computer Networks and Communications', 'Architecture', 'Business and International Management', 'Computer Science (miscellaneous)', 'Mathematics (all)', 'Fluid Flow and Transfer Processes', 'Health Information Management', 'Renewable Energy, Sustainability and the Environment', 'Control and Systems Engineering', 'Environmental Science (all)', 'Hardware and Architecture', 'Instrumentation', 'Transportation', 'Materials Science (all)', 'Aerospace Engineering', 'Management Science and Operations Research', 'Condensed Matter Physics', 'Energy Engineering and Power Technology', 'Fuel Technology', 'Management, Monitoring, Policy and Law', 'Oceanography', 'Control and Optimization', 'Electrical and Electronic Engineering', 'Software', 'Human-Computer Interaction', 'Artificial Intelligence', 'Mechanical Engineering', 'Mechanics of Materials', 'Computer Science Applications', 'Law', 'Automotive Engineering', 'Safety, Risk, Reliability and Quality', 'Information Systems', 'Nuclear Energy and Engineering', 'Engineering (all)', 'Water Science and Technology', 'Strategy and Management', 'Modeling and Simulation', 'Engineering (miscellaneous)', 'Pollution', 'Industrial and Manufacturing Engineering', 'Surfaces and Interfaces', 'Theoretical Computer Science', 'Civil and Structural Engineering', 'Energy (all)', 'Computer Graphics and Computer-Aided Design', 'Applied Mathematics', 'Acoustics and Ultrasonics', 'Computer Vision and Pattern Recognition', 'Building and Construction', 'Ocean Engineering', 'Computer Science (all)']",[]
AnirudhAgarwal,Agarwal A.,"LNM Institute of Information Technology (Deemed University), Jaipur, Department of Electronics and Communication Engineering",9,15,"['Biochemistry', 'Computer Networks and Communications', 'Electrical and Electronic Engineering', 'Information Systems', 'Bioengineering', 'Biotechnology', 'Computer Science Applications', 'Signal Processing', 'Molecular Biology', 'Software', 'Applied Microbiology and Biotechnology', 'Hardware and Architecture']","['data traffic', 'dynamic spectrum access', 'machine learning', 'spectrum prediction']"
ShivangiDubey,Dubey S.,"Maulana Azad National Institute of Technology, Department of Physics",11,18,"['Electronic, Optical and Magnetic Materials', 'Computer Networks and Communications', 'Chemistry (all)', 'Atomic and Molecular Physics, and Optics', 'Materials Chemistry', 'Signal Processing', 'Process Chemistry and Technology', 'Electrical and Electronic Engineering', 'Materials Science (all)', 'Computer Science Applications', 'Hardware and Architecture', 'Software', 'Surfaces, Coatings and Films', 'Condensed Matter Physics', 'Mechanics of Materials', 'Engineering (all)', 'Complementary and Alternative Medicine', 'Ceramics and Composites']","['data traffic', 'dynamic spectrum access', 'machine learning', 'spectrum prediction']"
Mohd AsifKhan,Khan M.,"LNM Institute of Information Technology (Deemed University), Jaipur, Department of Electrical & Computer Engineering",3,26,"['Signal Processing', 'Artificial Intelligence', 'Computer Networks and Communications', 'Electrical and Electronic Engineering', 'Computer Science Applications']","['data traffic', 'dynamic spectrum access', 'machine learning', 'spectrum prediction']"
RanjanGangopadhyay,Gangopadhyay R.,"LNM Institute of Information Technology (Deemed University), Jaipur, Department of Electronics and Communication Engineering",108,219,"['Information Systems and Management', 'Communication', 'Electronic, Optical and Magnetic Materials', 'Information Systems', 'Engineering (all)', 'Control and Systems Engineering', 'Physical and Theoretical Chemistry', 'Signal Processing', 'Renewable Energy, Sustainability and the Environment', 'Computer Science Applications', 'Health Informatics', 'Computer Networks and Communications', 'Industrial and Manufacturing Engineering', 'Hardware and Architecture', 'Biomedical Engineering', 'Electrical and Electronic Engineering', 'Energy Engineering and Power Technology', 'Condensed Matter Physics', 'Medicine (miscellaneous)', 'Applied Mathematics', 'Medicine (all)', 'Computer Science (all)', 'Atomic and Molecular Physics, and Optics', 'Biomaterials', 'Software']","['data traffic', 'dynamic spectrum access', 'machine learning', 'spectrum prediction']"
SoumitraDebnath,Debnath S.,"LNM Institute of Information Technology (Deemed University), Jaipur, Department of Electrical & Computer Engineering",25,32,"['Information Systems', 'Fuel Technology', 'Engineering (all)', 'Electronic, Optical and Magnetic Materials', 'Communication', 'Energy Engineering and Power Technology', 'Computer Networks and Communications', 'Hardware and Architecture', 'Artificial Intelligence', 'Signal Processing', 'Electrical and Electronic Engineering', 'Software', 'Automotive Engineering', 'Computer Science (all)', 'Computer Science Applications', 'Computer Vision and Pattern Recognition']","['data traffic', 'dynamic spectrum access', 'machine learning', 'spectrum prediction']"
MarcusEdel,Edel M.,Freie Universität Berlin,2,14,"['Instrumentation', 'Control and Optimization', 'Computer Networks and Communications', 'Control and Systems Engineering']","['Dead reckoning', 'Deep learning', 'Indoor positioning', 'Inertial tracking', 'Machine learning', 'dead reckoning', 'deep learning', 'Indoor positioning', 'inertial tracking', 'machine learning', 'dead reckoning', 'deep learning', 'Indoor positioning', 'inertial tracking', 'machine learning']"
EnricoKöppe,Köppe E.,Federal Institute for Materials Research and Testing Berlin,24,44,"['Computer Networks and Communications', 'Computer Science Applications', 'Physics and Astronomy (all)', 'Safety, Risk, Reliability and Quality', 'Electrical and Electronic Engineering', 'Information Systems', 'Communication', 'Engineering (all)', 'Instrumentation', 'Control and Systems Engineering', 'Transportation', 'Information Systems and Management', 'Building and Construction', 'Mechanical Engineering', 'Civil and Structural Engineering', 'Hardware and Architecture', 'Artificial Intelligence', 'Control and Optimization', 'Materials Science (all)', 'Signal Processing']","['Dead reckoning', 'Deep learning', 'Indoor positioning', 'Inertial tracking', 'Machine learning', 'dead reckoning', 'deep learning', 'Indoor positioning', 'inertial tracking', 'machine learning', 'dead reckoning', 'deep learning', 'Indoor positioning', 'inertial tracking', 'machine learning']"
M. JohnPrabu,Prabu M.,Municipal Administration and Water Supply Department,1,10,['Electrical and Electronic Engineering'],[]
P.Poongodi,Poongodi P.,"Kalaignarkarunanidhi Institute of Technology, Department of Electronics and Communication Engineering",30,31,"['Information Systems', 'Atomic and Molecular Physics, and Optics', 'Computational Mathematics', 'Strategy and Management', 'Computer Networks and Communications', 'Computer Science (all)', 'Control and Systems Engineering', 'Computer Vision and Pattern Recognition', 'Engineering (all)', 'Mathematics (all)', 'Applied Microbiology and Biotechnology', 'Software', 'Instrumentation', 'Earth and Planetary Sciences (all)', 'Artificial Intelligence', 'Mechanical Engineering', 'Numerical Analysis', 'Condensed Matter Physics', 'Computational Theory and Mathematics', 'Information Systems and Management', 'Health Informatics', 'Theoretical Computer Science', 'Pharmaceutical Science', 'Electrical and Electronic Engineering', 'Applied Mathematics', 'Signal Processing', 'Energy Engineering and Power Technology', 'Materials Science (all)', 'Computer Science Applications', 'Control and Optimization', 'Mechanics of Materials', 'Computer Science (miscellaneous)', 'Hardware and Architecture', 'Human-Computer Interaction', 'Biotechnology', 'Renewable Energy, Sustainability and the Environment', 'Analysis', 'Atmospheric Science', 'Agricultural and Biological Sciences (all)', 'Industrial and Manufacturing Engineering', 'Radiology, Nuclear Medicine and Imaging', 'Chemistry (all)']",[]
KamarajPremkumar,Premkumar K.,"Rajalakshmi Engineering College, Department of EEE",12,108,"['Biomaterials', 'Cognitive Neuroscience', 'Artificial Intelligence', 'Endocrinology', 'Statistics and Probability', 'Mechanical Engineering', 'Software', 'Civil and Structural Engineering', 'Hardware and Architecture', 'Energy Engineering and Power Technology', 'Fluid Flow and Transfer Processes', 'Pharmacology (medical)', 'Computer Science Applications', 'Metals and Alloys', 'Engineering (all)', 'Industrial and Manufacturing Engineering', 'Electronic, Optical and Magnetic Materials', 'Fuel Technology', 'Electrical and Electronic Engineering', 'Computer Networks and Communications']",[]
JaehaKung,Kung J.,Georgia Institute of Technology,20,140,"['Theoretical Computer Science', 'Engineering (all)', 'Computer Graphics and Computer-Aided Design', 'Instrumentation', 'Electronic, Optical and Magnetic Materials', 'Computer Networks and Communications', 'Information Systems', 'Computer Science Applications', 'Signal Processing', 'Computer Science (miscellaneous)', 'Electrical and Electronic Engineering', 'Modeling and Simulation', 'Industrial and Manufacturing Engineering', 'Safety, Risk, Reliability and Quality', 'Artificial Intelligence', 'Software', 'Human-Computer Interaction', 'Information Systems and Management', 'Hardware and Architecture', 'Control and Systems Engineering']","['Approximate computing', 'energy efficiency', 'machine learning hardware', 'recurrent neural network']"
DuckhwanKim,Kim D.,"Georgia Institute of Technology, School of Electrical and Computer Engineering",16,119,"['Safety, Risk, Reliability and Quality', 'Computer Science Applications', 'Information Systems', 'Computer Networks and Communications', 'Electronic, Optical and Magnetic Materials', 'Computer Graphics and Computer-Aided Design', 'Control and Systems Engineering', 'Instrumentation', 'Engineering (all)', 'Hardware and Architecture', 'Human-Computer Interaction', 'Software', 'Modeling and Simulation', 'Computer Science (miscellaneous)', 'Electrical and Electronic Engineering']","['Approximate computing', 'energy efficiency', 'machine learning hardware', 'recurrent neural network']"
